epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,660.137,0.76907,0.62351,0.94201,0.85549,0.85675,0.87311,0.66556,0.93234,0.68471,0.96569,0.00038531,0.00038531,0.00038531
95,667.478,0.71193,0.52746,0.89653,0.86506,0.86083,0.86409,0.64771,0.95918,0.68562,0.96404,0.000381776,0.000381776,0.000381776
96,674.197,0.73455,0.56605,0.91321,0.83587,0.83469,0.87285,0.65511,0.94406,0.69128,0.97692,0.000378242,0.000378242,0.000378242
97,681.057,0.72245,0.5541,0.90809,0.83383,0.87048,0.86723,0.66629,0.92688,0.66634,0.96358,0.000374707,0.000374707,0.000374707
98,687.853,0.72405,0.54486,0.9115,0.76381,0.89049,0.85582,0.64309,0.94337,0.68156,0.9681,0.000371173,0.000371173,0.000371173
99,694.76,0.71815,0.57031,0.91877,0.85063,0.82938,0.8512,0.63964,0.94389,0.69307,0.98115,0.000367639,0.000367639,0.000367639
100,702.084,0.7437,0.58916,0.93476,0.82295,0.85654,0.85955,0.64311,0.93739,0.6973,0.98249,0.000364104,0.000364104,0.000364104
101,708.97,0.71849,0.55296,0.9131,0.90626,0.83003,0.86786,0.65154,0.94232,0.68774,0.97822,0.00036057,0.00036057,0.00036057
102,715.795,0.71526,0.55968,0.92212,0.85996,0.8256,0.86606,0.64612,0.93278,0.68657,0.98389,0.000357036,0.000357036,0.000357036
103,722.673,0.72813,0.57426,0.92548,0.85629,0.83724,0.8692,0.65639,0.93842,0.73644,0.97696,0.000353501,0.000353501,0.000353501
104,729.925,0.72493,0.56288,0.92697,0.84357,0.87098,0.87331,0.65721,0.93788,0.7028,0.96845,0.000349967,0.000349967,0.000349967
105,736.779,0.71463,0.5611,0.91497,0.87971,0.85272,0.87079,0.66227,0.93864,0.67667,0.96725,0.000346433,0.000346433,0.000346433
106,743.577,0.72983,0.53848,0.90994,0.85177,0.84199,0.86381,0.61753,0.95644,0.69335,0.98432,0.000342899,0.000342899,0.000342899
107,750.374,0.73005,0.56706,0.91939,0.83469,0.82495,0.86486,0.65877,0.93116,0.67807,0.96572,0.000339364,0.000339364,0.000339364
108,757.322,0.72741,0.57165,0.9127,0.8716,0.79634,0.85969,0.65221,0.92798,0.74922,0.97007,0.00033583,0.00033583,0.00033583
109,764.723,0.71467,0.55505,0.91769,0.82601,0.88385,0.87472,0.66434,0.92027,0.70328,0.97191,0.000332296,0.000332296,0.000332296
110,771.606,0.72077,0.55899,0.92537,0.83343,0.85027,0.86053,0.64392,0.95258,0.72045,0.97906,0.000328761,0.000328761,0.000328761
111,778.449,0.70973,0.52875,0.9122,0.85613,0.81391,0.84703,0.63298,0.95369,0.73931,0.97861,0.000325227,0.000325227,0.000325227
112,785.523,0.69259,0.52781,0.90104,0.84312,0.86517,0.8723,0.6507,0.93257,0.66221,0.96551,0.000321693,0.000321693,0.000321693
113,792.865,0.70438,0.54345,0.90645,0.82631,0.86547,0.86429,0.64792,0.92614,0.70089,0.97083,0.000318158,0.000318158,0.000318158
114,800.624,0.7076,0.52654,0.90291,0.86031,0.80582,0.83726,0.63112,0.91571,0.68615,0.95714,0.000314624,0.000314624,0.000314624
115,808.107,0.68869,0.52788,0.90434,0.82381,0.87844,0.877,0.67558,0.91787,0.64978,0.9652,0.00031109,0.00031109,0.00031109
116,815.535,0.70264,0.529,0.90151,0.8247,0.85204,0.88143,0.67871,0.92575,0.63836,0.97863,0.000307555,0.000307555,0.000307555
