epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,681.822,0.69249,0.52277,0.94,0.84388,0.82204,0.848,0.64009,0.94837,0.71826,1.05769,0.00043479,0.00043479,0.00043479
81,690.199,0.7279,0.58607,0.96188,0.84683,0.84684,0.83838,0.65394,0.92083,0.67109,1.03033,0.000431256,0.000431256,0.000431256
82,698.54,0.7202,0.55013,0.94732,0.88904,0.8045,0.85389,0.65578,0.93266,0.65028,1.0469,0.000427722,0.000427722,0.000427722
83,706.883,0.66817,0.49076,0.92186,0.85971,0.84507,0.87275,0.66269,0.94773,0.68191,1.0647,0.000424187,0.000424187,0.000424187
84,715.605,0.69213,0.50147,0.93215,0.81444,0.86242,0.86761,0.65875,0.94274,0.69191,1.06608,0.000420653,0.000420653,0.000420653
85,723.989,0.63421,0.46013,0.90875,0.86246,0.85814,0.8793,0.66857,0.93857,0.69106,1.06716,0.000417119,0.000417119,0.000417119
86,732.365,0.68335,0.51276,0.93971,0.81325,0.8453,0.8541,0.66684,0.89731,0.67823,1.02379,0.000413584,0.000413584,0.000413584
87,740.699,0.66624,0.53014,0.92952,0.82747,0.84319,0.85858,0.66751,0.92461,0.68096,1.03761,0.00041005,0.00041005,0.00041005
88,749.382,0.68571,0.51498,0.9245,0.81366,0.82799,0.86144,0.6489,0.91939,0.68066,1.04722,0.000406516,0.000406516,0.000406516
89,757.689,0.71583,0.51812,0.95518,0.88384,0.80153,0.86819,0.65892,0.92622,0.65201,1.04774,0.000402982,0.000402982,0.000402982
90,766.02,0.66221,0.50361,0.93203,0.86971,0.82722,0.84793,0.64433,0.93398,0.674,1.04376,0.000399447,0.000399447,0.000399447
91,774.289,0.63951,0.44347,0.90186,0.84815,0.79754,0.86667,0.66982,0.94381,0.69327,1.04944,0.000395913,0.000395913,0.000395913
92,782.959,0.64974,0.44267,0.89424,0.81143,0.86009,0.84566,0.65604,0.92022,0.69596,1.02962,0.000392379,0.000392379,0.000392379
93,791.238,0.68389,0.53304,0.93876,0.82877,0.81963,0.83809,0.64273,0.93028,0.71056,1.0485,0.000388844,0.000388844,0.000388844
94,799.604,0.67871,0.53324,0.93732,0.8231,0.85702,0.84691,0.65451,0.93681,0.71947,1.05836,0.00038531,0.00038531,0.00038531
95,808.081,0.64158,0.45946,0.90418,0.84969,0.85173,0.8555,0.65152,0.92777,0.66855,1.05594,0.000381776,0.000381776,0.000381776
96,816.563,0.66193,0.4864,0.91737,0.87231,0.83004,0.8525,0.65482,0.91345,0.69533,1.04503,0.000378242,0.000378242,0.000378242
97,825.027,0.63507,0.46208,0.91102,0.82367,0.8335,0.86216,0.6587,0.93695,0.68604,1.06225,0.000374707,0.000374707,0.000374707
98,833.428,0.62894,0.45323,0.90367,0.85212,0.82778,0.8645,0.66834,0.93292,0.71271,1.05058,0.000371173,0.000371173,0.000371173
99,842.095,0.63424,0.48045,0.91513,0.82971,0.82894,0.84789,0.65412,0.91046,0.66629,1.03659,0.000367639,0.000367639,0.000367639
100,850.511,0.64883,0.49936,0.93319,0.86006,0.82973,0.84832,0.65398,0.91018,0.70919,1.03632,0.000364104,0.000364104,0.000364104
101,858.884,0.62308,0.48162,0.90529,0.8582,0.82471,0.85754,0.66143,0.92228,0.69893,1.04535,0.00036057,0.00036057,0.00036057
102,867.27,0.62712,0.49404,0.92309,0.86196,0.8081,0.86457,0.66442,0.92411,0.70638,1.04571,0.000357036,0.000357036,0.000357036
103,875.897,0.6398,0.49368,0.92302,0.86028,0.84653,0.83965,0.64504,0.92481,0.72686,1.04757,0.000353501,0.000353501,0.000353501
104,884.265,0.65225,0.47923,0.92779,0.85811,0.79069,0.84888,0.64967,0.92644,0.70222,1.04784,0.000349967,0.000349967,0.000349967
105,892.618,0.62067,0.48318,0.91404,0.84568,0.80958,0.84489,0.63758,0.94248,0.67097,1.05543,0.000346433,0.000346433,0.000346433
106,901.063,0.63297,0.45367,0.90852,0.8581,0.81907,0.83487,0.64013,0.93602,0.66761,1.04407,0.000342899,0.000342899,0.000342899
107,909.652,0.64781,0.48936,0.91789,0.85413,0.84194,0.86085,0.67316,0.92089,0.65696,1.03671,0.000339364,0.000339364,0.000339364
108,917.979,0.63107,0.47616,0.91084,0.85859,0.82281,0.85538,0.6625,0.92227,0.68691,1.03881,0.00033583,0.00033583,0.00033583
